Dates Cotations;1;2;3;4;5;6;7;8;9;10
2005/08/16;1,1;0,8;1,4;3,9;2,2;1,6;1,7;2,2;3;3,9
2005/08/17;1,1;0,8;1,4;3,9;2,2;2,1;2,8;3,3;3,6;3,8
2005/08/18;1,1;0,8;1,4;3,9;2,2;2,5;2,8;3,2;3,6;4
2005/08/19;1,1;0,8;1,4;3,9;2,2;2,1;2,8;3,4;3,8;4
2005/08/22;1,1;0,8;1,4;3,9;2,2;2,1;2,8;3,4;3,8;4
2005/08/23;1,1;0,8;1,4;3,9;2,2;2,1;2,8;3,4;3,8;4
2005/08/24;1;0,7;1,3;3,5;2;1,9;2,6;3,2;3,6;3,8
2005/08/25;1,1;0,8;1,4;3,9;2,2;1,7;1,8;2,3;3;4
2005/08/26;1;0,7;1,2;3,4;1,9;1,4;1,5;2;2,7;3,7
2005/08/29;0,8;0,8;1,4;3;2;1,5;1,7;2,1;2,8;3,8
2005/08/30;0,8;0,8;1,4;3;2;1,5;1,7;2,1;2,8;3,8
2005/08/31;0,9;0,9;1,5;3,3;2,2;1,9;2;2,4;3;4
2005/09/01;0,9;0,9;1,5;3,3;2,2;1,9;2;2,4;3;4
2005/09/02;0,9;0,9;1,5;3,5;2,3;2;2,1;2,5;3,1;4,1
2005/09/05;0,6;0,6;1;2,3;1,5;1,2;1,3;1,7;2,3;3,3
2005/09/06;0,6;0,6;1;2,3;1,5;1,2;1,3;1,7;2,3;3,3
2005/09/07;0,7;0,7;1,2;2,8;1,8;1,5;1,6;2;2,6;3,6
2005/09/08;0,7;0,7;1,2;2,8;1,8;1,8;2,5;2,9;3,5;4,5
2005/09/09;0,8;0,8;1,3;3,1;2;2;2,5;2,9;3,5;4,5
2005/09/12;0,8;0,8;1,3;3,1;2;2;2,5;3;3,2;3,5
2005/09/13;0,7;0,7;1,2;2,8;1,8;1,8;2,5;3;3,2;3,5
2005/09/14;0,9;0,9;1,5;3,4;2,2;1,8;1,9;2,3;2,9;4
2005/09/15;1;1;1,6;3,7;2,4;2;2,2;2,7;3,4;4
