Dates Cotations;1;2;3;4;5;6;7;8;9;10
16/08/2005;1,1;0,8;1,4;3,9;2,2;1,6;1,7;2,2;3;3,9
17/08/2005;1,1;0,8;1,4;3,9;2,2;2,1;2,8;3,3;3,6;3,8
18/08/2005;1,1;0,8;1,4;3,9;2,2;2,5;2,8;3,2;3,6;4
19/08/2005;1,1;0,8;1,4;3,9;2,2;2,1;2,8;3,4;3,8;4
22/08/2005;1,1;0,8;1,4;3,9;2,2;2,1;2,8;3,4;3,8;4
23/08/2005;1,1;0,8;1,4;3,9;2,2;2,1;2,8;3,4;3,8;4
24/08/2005;1;0,7;1,3;3,5;2;1,9;2,6;3,2;3,6;3,8
25/08/2005;1,1;0,8;1,4;3,9;2,2;1,7;1,8;2,3;3;4
26/08/2005;1;0,7;1,2;3,4;1,9;1,4;1,5;2;2,7;3,7
29/08/2005;0,8;0,8;1,4;3;2;1,5;1,7;2,1;2,8;3,8
30/08/2005;0,8;0,8;1,4;3;2;1,5;1,7;2,1;2,8;3,8
31/08/2005;0,9;0,9;1,5;3,3;2,2;1,9;2;2,4;3;4
01/09/2005;0,9;0,9;1,5;3,3;2,2;1,9;2;2,4;3;4
02/09/2005;0,9;0,9;1,5;3,5;2,3;2;2,1;2,5;3,1;4,1
05/09/2005;0,6;0,6;1;2,3;1,5;1,2;1,3;1,7;2,3;3,3
06/09/2005;0,6;0,6;1;2,3;1,5;1,2;1,3;1,7;2,3;3,3
07/09/2005;0,7;0,7;1,2;2,8;1,8;1,5;1,6;2;2,6;3,6
08/09/2005;0,7;0,7;1,2;2,8;1,8;1,8;2,5;2,9;3,5;4,5
09/09/2005;0,8;0,8;1,3;3,1;2;2;2,5;2,9;3,5;4,5
12/09/2005;0,8;0,8;1,3;3,1;2;2;2,5;3;3,2;3,5
13/09/2005;0,7;0,7;1,2;2,8;1,8;1,8;2,5;3;3,2;3,5
14/09/2005;0,9;0,9;1,5;3,4;2,2;1,8;1,9;2,3;2,9;4
15/09/2005;1;1;1,6;3,7;2,4;2;2,2;2,7;3,4;4
16/09/2005;0,8;0,8;1,3;3,1;2;2,1;2,8;3,2;3,4;3,5
19/09/2005;0,8;0,8;1,4;3,3;2,1;2,1;2,8;3,2;3,4;3,5
20/09/2005;0,8;0,8;1,3;3,1;2;2,1;2,8;3,2;3,5;3,5
21/09/2005;0,8;0,8;1,3;3,1;2;2,1;2,8;3,2;3,5;3,5
22/09/2005;0,8;0,8;1,3;3,1;2;2,1;2,8;3,2;3,5;3,5
23/09/2005;0,8;0,8;1,3;3,1;2;1,7;1,8;2,2;2,8;3,5
26/09/2005;0,6;0,6;1;2,3;1,5;1,2;1,3;1,7;2,3;3
27/09/2005;0,3;0,3;0,5;1;1,5;1,2;1,3;1,7;2,3;3
28/09/2005;0,3;0,3;0,5;1;1,5;1,2;1,3;1,7;2,3;3
29/09/2005;0,6;0,6;1;1,5;2;2,5;3;3,4;4;4,7
30/09/2005;0,4;0,4;0,8;1,1;1,5;2;2,5;2,9;3,5;4,2
03/10/2005;0,5;0,5;1,1;1,5;2;2,4;2,7;3;3,2;3,5
04/10/2005;0,4;0,4;0,8;1,1;1,5;1,9;2,2;2,5;2,7;3
05/10/2005;0,5;0,5;1;1,5;2;2,4;2,8;3,1;3,4;3,5
06/10/2005;0,4;0,4;0,8;1,1;1,5;1,9;2,3;2,6;2,9;3
07/10/2005;0,5;0,5;1,1;1,5;2;2,3;2,5;2,8;3,1;3,2
10/10/2005;0,4;0,4;1;1,4;1,8;2,2;2,5;2,8;3,1;3,2
11/10/2005;0,4;0,4;1;1,4;1,6;2;2,3;2,6;2,9;3
12/10/2005;0,4;0,4;1,1;1,6;1,8;2,1;2,5;2,8;3,1;3,2
13/10/2005;0,3;0,3;0,9;1,3;1,5;1,8;2,2;2,5;2,8;2,9
14/10/2005;0,3;0,3;0,9;1,3;1,5;1,8;2,2;2,5;2,8;2,9
17/10/2005;0,3;0,3;0,9;1,3;1,5;1,8;2,2;2,5;2,8;2,9
18/10/2005;0,3;0,3;0,9;1,3;1,5;1,8;2,2;2,5;2,8;2,9
19/10/2005;0,3;0,3;0,9;1,3;1,5;1,8;2,2;2,5;2,8;2,9
20/10/2005;0,3;0,3;0,9;1,3;1,5;1,8;2,2;2,5;2,8;2,9
21/10/2005;0,3;0,3;0,9;1,3;1,5;1,8;2,2;2,5;2,8;2,9
24/10/2005;0,3;0,3;0,9;1,3;1,5;1,8;2,2;2,5;2,8;2,9
25/10/2005;0,3;0,3;0,9;1,3;1,5;1,8;2,2;2,5;2,8;2,9
26/10/2005;0,3;0,3;0,9;1,3;1,5;1,8;2,2;2,5;2,8;2,9
27/10/2005;0,4;0,4;1,1;1,6;1,8;2,1;2,5;2,8;3,1;3,2
28/10/2005;0,3;0,3;0,9;1,3;1,5;1,8;2,2;2,5;2,8;2,9
31/10/2005;0,3;0,3;1;1,7;2,5;2,8;2,8;3;3,4;3,8
01/11/2005;0,3;0,3;1;1,7;2,5;2,8;2,8;3;3,4;3,8
02/11/2005;0,3;0,2;0,8;1,5;2,3;2,6;2,6;2,9;3,2;3,6
03/11/2005;0,3;0,2;0,9;1,6;2,5;3;3,4;3,6;3,7;3,8
04/11/2005;0,2;0,1;0,5;1;1,5;2;2,4;2,6;2,7;2,8
07/11/2005;0,4;0,2;1;1,5;1,9;2,3;2,8;3;3,1;3,2
08/11/2005;0,5;0,3;1,3;2;2,5;2,7;2,8;3;3,4;3,8
09/11/2005;0,4;0,2;1;1,6;2;2,4;2,8;3;3,4;3,8
